policy,target_index,target_x,target_y,steps,total_reward,final_distance,success_3cm,success_1cm,total_action
ppo,3,0.8,0.3,100,-51.46713353273686,1.0001315564590705,False,False,66.50167714186284
ppo,4,0.55,0.65,100,-57.83323847277426,0.967029036185905,False,False,94.90669121469551
ppo,5,0.2,0.7,100,-59.115409322582316,0.7821652947119634,False,False,107.29816325239821
ppo,6,-0.2,0.7,100,-66.94153790058029,0.7018681675521737,False,False,117.68132238717469
ppo,7,-0.45,0.55,100,-70.93492605984457,0.6266940119843025,False,False,120.76040866263924
ppo,8,-0.65,0.3,100,-78.33343938226672,0.5832131136172298,False,False,120.8986148530199
ppo,9,0.9,0.1,100,-64.10996908104903,1.054918376709634,False,False,85.38559172536706
ppo,10,0.1,0.9,100,-77.04295231875355,0.9338725193044821,False,False,114.11511233672623
ppo,11,0.45,0.2,100,-39.22489952395777,0.5883647873180542,False,False,80.5091881925785
ppo,12,0.2,0.45,100,-45.83816975313098,0.5707574386936755,False,False,100.40359283399717
ppo,13,-0.2,0.45,100,-52.4957170823917,0.45253025104207933,False,False,112.8863558794999
ppo,14,-0.45,0.2,100,-62.170100674448015,0.36049828378970994,False,False,113.79996572506981
ppo,15,0.7,0.45,100,-41.85738312379261,0.7616517409034363,False,False,71.62068590445246
ppo,16,0.45,0.7,100,-60.568863473183214,0.9245101959621752,False,False,99.60454090954461
ppo,17,-0.45,0.7,100,-79.64526943840555,0.7617924122808479,False,False,123.47804430665454
ppo,18,-0.7,0.45,100,-85.66304867394044,0.7107603968377709,False,False,124.76545165441304
ppo,19,0.35,0.35,100,-43.44321535152154,0.6210574217765731,False,False,92.41806403890682
ppo,20,-0.35,0.35,100,-56.98327680154904,0.40303391487535806,False,False,114.58863746995404
classical,1,0.65,0.55,23,-8.362159195715044,0.029700691283766147,True,False,16.657854331502197
classical,2,0.3,0.8,47,-18.703549873147715,0.015768364467082616,True,False,19.170006401092074
classical,3,0.8,0.3,27,-5.692649228405624,0.02922314939529116,True,False,16.523519645386603
classical,4,0.55,0.65,45,-12.582519866250344,0.025571073943174434,True,False,17.50275222999536
classical,5,0.2,0.7,45,-18.89763516179369,0.027044039464692495,True,False,23.596178435745998
classical,6,-0.2,0.7,48,-28.134547060628265,0.021811851785780368,True,False,26.468655839724107
classical,7,-0.45,0.55,50,-34.31359610538437,0.026057588179474442,True,False,29.055207271335178
classical,8,-0.65,0.3,54,-40.88143890447306,0.010595448632420044,True,False,33.97262853570003
classical,9,0.9,0.1,34,-3.022802608668124,0.027812919182103612,True,False,15.113550305148742
classical,10,0.1,0.9,49,-24.580351200923026,0.023296713114539184,True,False,18.558958441792427
classical,11,0.45,0.2,37,-14.605606399942692,0.02623291360732296,True,False,29.640796335763547
